model,coverage,selective_acc
OLMo-3 7B,1.0,46.12
OLMo-3 7B,0.9,48.87
OLMo-3 7B,0.8,51.21
OLMo-3 7B,0.7,54.09
OLMo-3 7B,0.6,57.12
OLMo-3 7B,0.5,60.78
OLMo-3 32B,1.0,58.64
OLMo-3 32B,0.9,62.03
OLMo-3 32B,0.8,64.56
OLMo-3 32B,0.7,67.96
OLMo-3 32B,0.6,71.68
OLMo-3 32B,0.5,75.53
Qwen2.5 7B,1.0,59.71
Qwen2.5 7B,0.9,62.57
Qwen2.5 7B,0.8,65.66
Qwen2.5 7B,0.7,69.21
Qwen2.5 7B,0.6,72.82
Qwen2.5 7B,0.5,77.86
Qwen2.5 14B,1.0,67.77
Qwen2.5 14B,0.9,71.63
Qwen2.5 14B,0.8,75.0
Qwen2.5 14B,0.7,77.95
Qwen2.5 14B,0.6,82.04
Qwen2.5 14B,0.5,84.85
Qwen2.5 32B,1.0,73.01
Qwen2.5 32B,0.9,77.45
Qwen2.5 32B,0.8,81.19
Qwen2.5 32B,0.7,84.74
Qwen2.5 32B,0.6,87.7
Qwen2.5 32B,0.5,90.29
