model,family,size_b,temp,run1,run2,run3,mean_acc,std_acc
OLMo-3 7B,OLMo-3,7,0.0,46.117,46.214,46.214,46.181,0.0458
OLMo-3 7B,OLMo-3,7,0.3,44.757,43.981,44.757,44.498,0.3661
OLMo-3 7B,OLMo-3,7,0.7,43.204,39.029,41.068,41.1,1.7045
OLMo-3 32B,OLMo-3,32,0.0,58.641,58.641,58.641,58.641,0.0
OLMo-3 32B,OLMo-3,32,0.3,58.738,56.214,57.087,57.346,1.0467
OLMo-3 32B,OLMo-3,32,0.7,51.068,50.777,50.777,50.874,0.1373
Qwen2.5 7B,Qwen2.5,7,0.0,67.961,67.961,67.961,67.961,0.0
Qwen2.5 7B,Qwen2.5,7,0.3,65.534,66.214,67.573,66.44,0.8476
Qwen2.5 7B,Qwen2.5,7,0.7,57.767,58.641,56.602,57.67,0.8352
Qwen2.5 14B,Qwen2.5,14,0.0,68.447,68.447,68.544,68.479,0.0458
Qwen2.5 14B,Qwen2.5,14,0.3,65.146,67.379,65.146,65.89,1.0527
Qwen2.5 14B,Qwen2.5,14,0.7,59.029,59.709,58.835,59.191,0.3746
Qwen2.5 32B,Qwen2.5,32,0.0,73.398,73.398,73.398,73.398,0.0
Qwen2.5 32B,Qwen2.5,32,0.3,72.33,70.971,71.65,71.65,0.5549
Qwen2.5 32B,Qwen2.5,32,0.7,64.369,65.146,63.981,64.498,0.4844
