model,temp,mean_acc,std_acc,acc_range,answer_instability_pct
OLMo-3 7B,0.0,46.181,0.0458,0.097,0.87
OLMo-3 7B,0.3,44.498,0.3661,0.777,39.51
OLMo-3 7B,0.7,41.1,1.7045,4.175,67.57
OLMo-3 32B,0.0,58.641,0.0,0.0,0.0
OLMo-3 32B,0.3,57.346,1.0467,2.524,31.46
OLMo-3 32B,0.7,50.874,0.1373,0.291,59.9
Qwen2.5 7B,0.0,67.961,0.0,0.0,0.1
Qwen2.5 7B,0.3,66.44,0.8476,2.039,25.92
Qwen2.5 7B,0.7,57.67,0.8352,2.039,55.24
Qwen2.5 14B,0.0,68.479,0.0458,0.097,0.19
Qwen2.5 14B,0.3,65.89,1.0527,2.233,25.83
Qwen2.5 14B,0.7,59.191,0.3746,0.874,53.3
Qwen2.5 32B,0.0,73.398,0.0,0.0,0.0
Qwen2.5 32B,0.3,71.65,0.5549,1.359,19.13
Qwen2.5 32B,0.7,64.498,0.4844,1.165,44.66
