model,temp,single_run_mean_acc,majority_vote_acc,mv_gain_pp
OLMo-3 7B,0.0,46.181,46.214,0.032
OLMo-3 7B,0.3,44.498,45.049,0.55
OLMo-3 7B,0.7,41.1,44.563,3.463
OLMo-3 32B,0.0,58.641,58.641,0.0
OLMo-3 32B,0.3,57.346,58.932,1.586
OLMo-3 32B,0.7,50.874,54.757,3.883
Qwen2.5 7B,0.0,67.961,67.961,0.0
Qwen2.5 7B,0.3,66.44,67.864,1.424
Qwen2.5 7B,0.7,57.67,61.068,3.398
Qwen2.5 14B,0.0,68.479,68.447,-0.032
Qwen2.5 14B,0.3,65.89,67.087,1.197
Qwen2.5 14B,0.7,59.191,63.01,3.819
Qwen2.5 32B,0.0,73.398,73.398,0.0
Qwen2.5 32B,0.3,71.65,71.942,0.291
Qwen2.5 32B,0.7,64.498,68.738,4.239
