model,system,n_questions,acc,ci_lo,ci_hi
OLMo-3 7B,Musculoskeletal,1682,37.34,35.06,39.67
OLMo-3 7B,Reproductive,1874,40.02,37.83,42.26
OLMo-3 7B,RenalUrinary,1878,36.05,33.91,38.25
OLMo-3 7B,Infectious,2838,37.39,35.62,39.18
OLMo-3 7B,Behavioral,1419,44.12,41.55,46.71
OLMo-3 7B,Gastrointestinal,2824,36.58,34.82,38.37
OLMo-3 7B,Nervous,3060,38.01,36.3,39.74
OLMo-3 7B,EndocrineMetabolic,2647,37.74,35.91,39.6
OLMo-3 7B,Multisystem,1844,40.62,38.4,42.88
OLMo-3 7B,Cardiovascular,3335,36.31,34.7,37.96
OLMo-3 7B,Respiratory,2227,41.0,38.97,43.05
OLMo-3 7B,Hematologic,1829,38.0,35.8,40.25
OLMo-3 7B,Immune,1875,40.75,38.54,42.99
OLMo-3 7B,Skin,1937,38.62,36.47,40.81
OLMo-3 7B,SpecialSenses,1087,34.5,31.73,37.37
OLMo-3 32B,Musculoskeletal,1682,47.92,45.54,50.31
OLMo-3 32B,Reproductive,1874,52.67,50.4,54.92
OLMo-3 32B,RenalUrinary,1878,48.35,46.09,50.61
OLMo-3 32B,Infectious,2838,50.49,48.65,52.33
OLMo-3 32B,Behavioral,1419,55.32,52.72,57.89
OLMo-3 32B,Gastrointestinal,2824,49.11,47.27,50.96
OLMo-3 32B,Nervous,3060,49.15,47.38,50.92
OLMo-3 32B,EndocrineMetabolic,2647,49.23,47.32,51.13
OLMo-3 32B,Multisystem,1844,51.03,48.75,53.31
OLMo-3 32B,Cardiovascular,3335,50.55,48.86,52.25
OLMo-3 32B,Respiratory,2227,50.83,48.75,52.9
OLMo-3 32B,Hematologic,1829,47.73,45.45,50.02
OLMo-3 32B,Immune,1875,51.57,49.31,53.83
OLMo-3 32B,Skin,1937,51.83,49.61,54.05
OLMo-3 32B,SpecialSenses,1087,47.19,44.24,50.17
Qwen2.5 7B,Musculoskeletal,1682,53.09,50.7,55.47
Qwen2.5 7B,Reproductive,1874,54.75,52.49,56.99
Qwen2.5 7B,RenalUrinary,1878,48.51,46.25,50.77
Qwen2.5 7B,Infectious,2838,50.99,49.15,52.82
Qwen2.5 7B,Behavioral,1419,57.22,54.63,59.77
Qwen2.5 7B,Gastrointestinal,2824,51.31,49.47,53.15
Qwen2.5 7B,Nervous,3060,51.44,49.67,53.21
Qwen2.5 7B,EndocrineMetabolic,2647,51.08,49.17,52.98
Qwen2.5 7B,Multisystem,1844,51.84,49.56,54.12
Qwen2.5 7B,Cardiovascular,3335,51.39,49.7,53.09
Qwen2.5 7B,Respiratory,2227,52.81,50.73,54.87
Qwen2.5 7B,Hematologic,1829,51.78,49.49,54.06
Qwen2.5 7B,Immune,1875,53.23,50.96,55.48
Qwen2.5 7B,Skin,1937,52.66,50.43,54.87
Qwen2.5 7B,SpecialSenses,1087,47.75,44.79,50.72
Qwen2.5 14B,Musculoskeletal,1682,58.92,56.55,61.25
Qwen2.5 14B,Reproductive,1874,61.9,59.68,64.07
Qwen2.5 14B,RenalUrinary,1878,57.72,55.47,59.94
Qwen2.5 14B,Infectious,2838,57.36,55.54,59.17
Qwen2.5 14B,Behavioral,1419,63.71,61.17,66.17
Qwen2.5 14B,Gastrointestinal,2824,58.53,56.71,60.34
Qwen2.5 14B,Nervous,3060,58.79,57.04,60.52
Qwen2.5 14B,EndocrineMetabolic,2647,58.93,57.05,60.79
Qwen2.5 14B,Multisystem,1844,58.57,56.3,60.8
Qwen2.5 14B,Cardiovascular,3335,58.65,56.97,60.31
Qwen2.5 14B,Respiratory,2227,58.87,56.81,60.9
Qwen2.5 14B,Hematologic,1829,58.28,56.01,60.52
Qwen2.5 14B,Immune,1875,60.8,58.57,62.99
Qwen2.5 14B,Skin,1937,59.94,57.74,62.1
Qwen2.5 14B,SpecialSenses,1087,56.85,53.89,59.77
Qwen2.5 32B,Musculoskeletal,1682,65.58,63.27,67.81
Qwen2.5 32B,Reproductive,1874,67.56,65.4,69.64
Qwen2.5 32B,RenalUrinary,1878,63.84,61.65,65.99
Qwen2.5 32B,Infectious,2838,64.38,62.6,66.12
Qwen2.5 32B,Behavioral,1419,68.57,66.11,70.93
Qwen2.5 32B,Gastrointestinal,2824,64.55,62.77,66.3
Qwen2.5 32B,Nervous,3060,65.65,63.95,67.32
Qwen2.5 32B,EndocrineMetabolic,2647,63.47,61.62,65.28
Qwen2.5 32B,Multisystem,1844,63.83,61.61,65.99
Qwen2.5 32B,Cardiovascular,3335,65.73,64.1,67.32
Qwen2.5 32B,Respiratory,2227,64.8,62.79,66.75
Qwen2.5 32B,Hematologic,1829,65.5,63.29,67.64
Qwen2.5 32B,Immune,1875,67.57,65.42,69.65
Qwen2.5 32B,Skin,1937,67.48,65.36,69.53
Qwen2.5 32B,SpecialSenses,1087,62.37,59.45,65.21
